cardId,cardName,setCode,setName,mainPokemon,cameoPokemon,notes
base1-16,Pikachu,base1,Base Set,Pikachu,"Bulbasaur,Charmander,Squirtle",Red Cheeks variant artwork shows starter Pokemon in background
base1-58,Pikachu,base1,Base Set,Pikachu,"Bulbasaur,Charmander,Squirtle",Yellow Cheeks variant - starters visible in artwork
gym1-115,Misty's Tears,gym1,Gym Heroes,Misty,"Psyduck,Staryu,Goldeen",Background Pokemon in artwork
neo1-4,Bellossom,neo1,Neo Genesis,Bellossom,"Oddish,Gloom",Evolution line visible in background
gym2-119,Koga's Ninja Trick,gym2,Gym Challenge,Koga,"Golbat,Weezing,Muk",Koga's team Pokemon in artwork
base2-71,Professor Oak,base2,Base Set 2,Oak,"Charmander,Squirtle,Bulbasaur",Starter Pokemon on desk
pop1-17,Blaziken,pop1,POP Series 1,Blaziken,"Torchic,Combusken",Pre-evolution forms in background
ex3-97,Steven's Advice,ex3,EX Dragon,Steven,"Metagross,Skarmory,Aggron",Steven's signature steel-type team
dp1-120,Cynthia's Feelings,dp1,Diamond & Pearl,Cynthia,"Garchomp,Lucario,Spiritomb",Cynthia's champion Pokemon
pl1-99,Bebe's Search,pl1,Platinum,Bebe,"Eevee,Flareon,Vaporeon,Jolteon",Eevee evolutions displayed in lab
bw1-96,Professor Juniper,bw1,Black & White,Juniper,"Snivy,Tepig,Oshawott",Unova starters
xy1-143,Professor Sycamore,xy1,XY Base Set,Sycamore,"Chespin,Fennekin,Froakie",Kalos region starters
sm1-149,Professor Kukui,sm1,Sun & Moon,Kukui,"Rowlet,Litten,Popplio",Alola region starters
swsh1-178,Professor's Research,swsh1,Sword & Shield,Magnolia,"Grookey,Scorbunny,Sobble",Galar starters in lab
ex13-105,Latias,ex13,EX Holon Phantoms,Latias,Latios,Latios featured alongside Latias
ex13-106,Latios,ex13,EX Holon Phantoms,Latios,Latias,Latias featured alongside Latios
dp5-144,Dialga & Palkia LEGEND,dp5,Stormfront,Dialga,Palkia,Legendary duo card
hgss1-113,Ho-Oh LEGEND,hgss1,HeartGold & SoulSilver,Ho-Oh,"Entei,Raikou,Suicune",Legendary beasts visible
bw8-142,Bicycle,bw8,Plasma Storm,Trainer,"Ducklett,Pidove,Patrat",Wild Pokemon in countryside scene
xy2-111,Evosoda,xy2,Flashfire,Item,"Eevee,Vaporeon,Jolteon,Flareon",Eevee evolution showcase
sm35-168,Lillie,sm35,Cosmic Eclipse,Lillie,"Clefairy,Vulpix",Lillie's companion Pokemon
swsh9-237,Mew VMAX,swsh9,Brilliant Stars,Mew,"Celebi,Jirachi,Shaymin,Victini",Mythical Pokemon gathering in alt art
sv1-197,Miriam,sv1,Scarlet & Violet,Miriam,"Koraidon,Great Tusk,Scream Tail",Paradox Pokemon in background
sv2-202,Penny,sv2,Paldea Evolved,Penny,"Eevee,Sylveon,Umbreon",Team Star leader with Eevee team
